Rank,Few-40wcdays,,Most-40wcdays,,Few-40wchrs,,Most-40wchrs,,Few40hmdxdays,,Most40hmdxdays,,Few40hmdxhrs,,Most40hmdxhrs,
1,-,-,4,1985,-,-,16,1958,-,-,2,2015,-,-,6,1983
2,-,-,2,1958,-,-,7,1985,-,-,1,1960,-,-,6,2015
3,-,-,1,1966,-,-,1,1966,-,-,1,1978,-,-,3,1960
4,-,-,-,-,-,-,-,-,-,-,1,1983,-,-,3,1978
5,-,-,-,-,-,-,-,-,-,-,1,2013,-,-,1,2013
