Rank,Few-40wcdays,,Most-40wcdays,,Few-40wchrs,,Most-40wchrs,,Few40hmdxdays,,Most40hmdxdays,,Few40hmdxhrs,,Most40hmdxhrs,
1,-,-,-,-,-,-,-,-,-,-,2,2015,-,-,6,1983
2,-,-,-,-,-,-,-,-,-,-,1,1960,-,-,6,2015
3,-,-,-,-,-,-,-,-,-,-,1,1978,-,-,3,1960
4,-,-,-,-,-,-,-,-,-,-,1,1983,-,-,3,1978
5,-,-,-,-,-,-,-,-,-,-,1,2013,-,-,1,2013
